Player Name,Start year,End year,Position
Alaa Abdelnaby,1991,1995,F-C
Zaid Abdul-Aziz,1969,1978,C-F
Kareem Abdul-Jabbar*,1970,1989,C
Mahmoud Abdul-Rauf,1991,2001,G
Tariq Abdul-Wahad,1998,2003,F
Shareef Abdur-Rahim,1997,2008,F
Tom Abernethy,1977,1981,F
Forest Able,1957,1957,G
John Abramovic,1947,1948,F
Álex Abrines,2017,2019,G-F
Precious Achiuwa,2021,2023,F
Alex Acker,2006,2009,G
Don Ackerman,1954,1954,G
Mark Acres,1988,1993,F-C
Bud Acton,1968,1968,F
Quincy Acy,2013,2019,F-C
Alvan Adams,1976,1988,C-F
Don Adams,1971,1977,F
George Adams,1973,1975,F-G
Hassan Adams,2007,2009,G
Jaylen Adams,2019,2021,G
Jordan Adams,2015,2016,G
Michael Adams,1986,1996,G
Steven Adams,2014,2023,C
Rafael Addison,1987,1997,F-G
Bam Adebayo,2018,2023,C-F
Deng Adel,2019,2019,F
Rick Adelman*,1969,1975,G
Jeff Adrien,2011,2015,F
Arron Afflalo,2008,2018,G-F
Ochai Agbaji,2023,2023,G
Maurice Ager,2007,2011,G
Mark Aguirre,1982,1994,F-G
Blake Ahearn,2008,2012,G
Danny Ainge,1982,1995,G
Matt Aitch,1968,1968,F
Alexis Ajinça,2009,2017,C-F
Henry Akin,1967,1969,C-F
Josh Akognon,2013,2013,G
DeVaughn Akoon-Purcell,2019,2019,G
Solomon Alabi,2011,2012,C
Mark Alarie,1987,1991,F
Gary Alcorn,1960,1961,C
Santi Aldama,2022,2023,F
Furkan Aldemir,2015,2015,F-C
Cole Aldrich,2011,2018,C
LaMarcus Aldridge,2007,2022,F-C
Chuck Aleksinas,1985,1985,C
Cliff Alexander,2016,2016,F
Cory Alexander,1996,2005,G
Courtney Alexander,2001,2003,G
Gary Alexander,1994,1994,F
Joe Alexander,2009,2010,F
Kyle Alexander,2020,2020,F
Ty-Shon Alexander,2021,2021,G
Victor Alexander,1992,2002,C-F
Nickeil Alexander-Walker,2020,2023,G
Steve Alford,1988,1991,G
Rawle Alkins,2019,2019,G
Bill Allen,1968,1968,C-F
Bob Allen,1969,1969,F
Grayson Allen,2019,2023,G
Jarrett Allen,2018,2023,C-F
Jerome Allen,1996,1997,G
Kadeem Allen,2018,2020,G
Lavoy Allen,2012,2017,F-C
Lucius Allen,1970,1979,G
Malik Allen,2002,2011,F-C
Randy Allen,1989,1990,F
Ray Allen*,1997,2014,G
Tony Allen,2005,2018,G-F
Willie Allen,1972,1972,F
Odis Allison,1972,1972,F
Lance Allred,2008,2008,C
Darrell Allums,1981,1981,F
Morris Almond,2008,2012,G
Derrick Alston,1995,1997,F
Rafer Alston,2000,2010,G
Peter Aluma,1999,1999,C
Jose Alvarado,2022,2023,G
John Amaechi,1996,2003,C-F
Ashraf Amaya,1996,1997,F
Al-Farouq Aminu,2011,2021,F
Lou Amundson,2007,2016,F-C
Bob Anderegg,1960,1960,F-G
Chris Andersen,2002,2017,C-F
David Andersen,2010,2011,C
Alan Anderson,2006,2017,G-F
Andy Anderson,1968,1970,G
Antonio Anderson,2010,2010,G
Cliff Anderson,1968,1971,G-F
Dan Anderson,1968,1969,C
Dan Anderson,1975,1976,G
Derek Anderson,1998,2008,G
Dwight Anderson,1983,1983,G
Eric Anderson,1993,1994,F
Greg Anderson,1988,1998,F-C
J.J. Anderson,1983,1985,F
James Anderson,2011,2016,G-F
Jerome Anderson,1976,1977,G
Justin Anderson,2016,2022,G
Kenny Anderson,1992,2005,G
Kim Anderson,1979,1979,F
Kyle Anderson,2015,2023,F-G
Michael Anderson,1989,1989,G
Nick Anderson,1990,2002,F-G
Richard Anderson,1983,1990,F-C
Ron Anderson,1985,1994,F-G
Ryan Anderson,2009,2020,F
Shandon Anderson,1997,2006,F-G
Willie Anderson,1989,1997,G-F
Wally Anderzunas,1970,1970,C-F
Martynas Andriuškevičius,2006,2006,C
Don Anielak,1955,1955,F
Ike Anigbogu,2018,2019,F-C
Michael Ansley,1990,1992,F
Chris Anstey,1998,2000,C
Giannis Antetokounmpo,2014,2023,F-G
Kostas Antetokounmpo,2019,2021,F
Thanasis Antetokounmpo,2016,2023,F
Carmelo Anthony,2004,2022,F
Cole Anthony,2021,2023,G
Greg Anthony,1992,2002,G
Joel Anthony,2008,2017,C
Pero Antić,2014,2015,C-F
OG Anunoby,2018,2023,F
Keith Appling,2016,2016,G
Rafael Araújo,2005,2007,C
Stacey Arceneaux,1962,1962,F
Robert Archibald,2003,2004,F
Tiny Archibald*,1971,1984,G
